2025-10-30 15:32:56 | INFO     | yfinance | Failed to create TzCache, reason: Error creating TzCache folder: '/Users/rajeevsingh/Library/Caches/py-yfinance' reason: [Errno 1] Operation not permitted: '/Users/rajeevsingh/Library/Caches/py-yfinance'. TzCache will not be used. Tip: You can direct cache to use a different location with 'set_tz_cache_location(mylocation)'
2025-10-30 15:32:56 | INFO     | yfinance | Failed to create CookieCache, reason: Error creating CookieCache folder: '/Users/rajeevsingh/Library/Caches/py-yfinance' reason: [Errno 1] Operation not permitted: '/Users/rajeevsingh/Library/Caches/py-yfinance'. CookieCache will not be used. Tip: You can direct cache to use a different location with 'set_tz_cache_location(mylocation)'
2025-10-30 15:32:56 | ERROR    | yfinance | Failed to get ticker 'AAPL' reason: Failed to perform, curl: (6) Could not resolve host: guce.yahoo.com. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.
2025-10-30 15:32:56 | ERROR    | data.data_collector | Error fetching AAPL (attempt 1): Failed to perform, curl: (6) Could not resolve host: guce.yahoo.com. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.
2025-10-30 15:32:57 | INFO     | data.data_collector | Fetching AAPL data from 2025-10-23 to 2025-10-30 (interval: 5m, attempt: 2)
2025-10-30 15:32:57 | ERROR    | yfinance | Failed to get ticker 'AAPL' reason: Failed to perform, curl: (6) Could not resolve host: guce.yahoo.com. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.
2025-10-30 15:32:57 | ERROR    | data.data_collector | Error fetching AAPL (attempt 2): Failed to perform, curl: (6) Could not resolve host: guce.yahoo.com. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.
2025-10-30 15:32:59 | INFO     | data.data_collector | Fetching AAPL data from 2025-10-23 to 2025-10-30 (interval: 5m, attempt: 3)
2025-10-30 15:32:59 | ERROR    | yfinance | Failed to get ticker 'AAPL' reason: Failed to perform, curl: (6) Could not resolve host: guce.yahoo.com. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.
2025-10-30 15:32:59 | ERROR    | yfinance | $AAPL: possibly delisted; no timezone found
2025-10-30 15:32:59 | WARNING  | data.data_collector | No data returned for AAPL
2025-10-30 15:32:59 | WARNING  | __main__ |   Falling back to sample data for AAPL (/Users/rajeevsingh/github/trading_app/examples/sample_data/AAPL_5m.csv)
2025-10-30 15:32:59 | INFO     | utils.indicators | Added all technical indicators to DataFrame
2025-10-30 15:32:59 | INFO     | __main__ |   Loaded 240 bars for AAPL
2025-10-30 15:32:59 | INFO     | __main__ | Fetching MSFT...
2025-10-30 15:32:59 | INFO     | data.data_collector | Fetching MSFT data from 2025-10-23 to 2025-10-30 (interval: 5m, attempt: 1)
2025-10-30 15:32:59 | ERROR    | yfinance | Failed to get ticker 'MSFT' reason: Failed to perform, curl: (6) Could not resolve host: guce.yahoo.com. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.
2025-10-30 15:32:59 | ERROR    | yfinance | $MSFT: possibly delisted; no timezone found
2025-10-30 15:32:59 | WARNING  | data.data_collector | No data returned for MSFT
2025-10-30 15:32:59 | WARNING  | __main__ |   Falling back to sample data for MSFT (/Users/rajeevsingh/github/trading_app/examples/sample_data/MSFT_5m.csv)
2025-10-30 15:32:59 | INFO     | utils.indicators | Added all technical indicators to DataFrame
2025-10-30 15:32:59 | INFO     | __main__ |   Loaded 240 bars for MSFT
2025-10-30 15:32:59 | INFO     | __main__ | Fetching GOOGL...
2025-10-30 15:32:59 | INFO     | data.data_collector | Fetching GOOGL data from 2025-10-23 to 2025-10-30 (interval: 5m, attempt: 1)
2025-10-30 15:32:59 | ERROR    | yfinance | Failed to get ticker 'GOOGL' reason: Failed to perform, curl: (6) Could not resolve host: guce.yahoo.com. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.
2025-10-30 15:32:59 | ERROR    | yfinance | $GOOGL: possibly delisted; no timezone found
2025-10-30 15:32:59 | WARNING  | data.data_collector | No data returned for GOOGL
